"商品
上架日","銷售
與否(有日期代表停售)","保險
公司",險種名稱,"險種
代號","保險
年齡","
年期",幣別,"保費
級距",繳費類型,商品類別,"佣金
第1年","佣金
第2年","佣金
第3年","佣金
第4年","佣金
第5年","佣金
第6年","佣金
第7年","佣金
第8年","佣金
第9年","佣金
第10年","服務
津貼
第2年","服務
津貼
第3年","服務
津貼
第4年","服務
津貼
第5年","服務
津貼
第6年","服務
津貼
第7年","服務
津貼
第8年","服務
津貼
第9年","服務
津貼
第10年",PR13,PR25,年終
2025/10/16,銷售中,元大,百富美元利率變動型終身壽險,BF,0~77,6,,,,主約,72.00%,0.00%,,,,,,,,,0.00%,,,,,,,,,Y,Y,Y
2025/10/16,銷售中,元大,百富美元利率變動型終身壽險,BF,0~74,9,,,,主約,90.00%,20.00%,,,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,,,,,Y,Y,Y
2025/9/19,銷售中,元大,利率變動型即期年金,AT,,1,,,躉,主約,3.50%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2025/9/19,銷售中,元大,美元利率變動型即期年金,AU,,1,,,躉,主約,3.50%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2025/9/19,銷售中,元大,投資標的分配或資產撥回方式批註條款,BB,,1,,,躉,附約,0.00%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2025/8/15,銷售中,元大,永元青春保險,YP,,10,,,,主約,35.00%,5.00%,3.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,Y,Y,N
2025/8/15,銷售中,元大,永元青春保險,YP,,20,,,,主約,45.00%,5.00%,3.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,Y,Y,N
2025/4/28,銷售中,元大,元元豐收變額萬能壽險,U2,,1,,,躉,投資型,6.50%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2025/4/28,銷售中,元大,元元豐收變額萬能壽險,U2,,0,,,單筆增額,單筆增額,3.00%,2.00%,1.00%,,,,,,,,0.00%,,,,,,,,,N,N,N
2025/4/28,銷售中,元大,元元豐收變額年金保險,U3,,1,,,躉,投資型,6.50%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2025/4/28,銷售中,元大,元元豐收變額年金保險,U3,,0,,,單筆增額,單筆增額,3.00%,2.00%,1.00%,,,,,,,,0.00%,,,,,,,,,N,N,N
2025/4/15,銷售中,元大,旺傳富美元利率變動型終身壽險 ,BT,,6,,,,主約,55.00%,0.00%,,,,,,,,,0.50%,0.50%,,,,,,,,Y,Y,N
2025/4/15,銷售中,元大,旺傳富美元利率變動型終身壽險 ,BT,,12,,,,主約,80.00%,0.00%,,,,,,,,,2.00%,2.00%,1.00%,1.00%,1.00%,1.00%,,,,Y,Y,N
2025/4/9,銷售中,元大,金享元元美元利率變動型還本終身保險 ,BE,0~70,3,,,,主約,33.00%,0.00%,,,,,,,,,0.50%,0.50%,,,,,,,,N,N,N
2025/4/9,銷售中,元大,金享元元美元利率變動型還本終身保險 ,BE,71~80,3,,,,主約,16.00%,0.00%,,,,,,,,,0.50%,0.50%,,,,,,,,N,N,N
2025/4/9,銷售中,元大,金享元元美元利率變動型還本終身保險 ,BE,0~70,6,,,,主約,52.00%,1.00%,0.00%,,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,,,,,Y,Y,N
2025/4/9,銷售中,元大,金享元元美元利率變動型還本終身保險 ,BE,71~79,6,,,,主約,48.00%,1.00%,0.00%,,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,,,,,Y,Y,N
2025/4/9,銷售中,元大,金享元元美元利率變動型還本終身保險 ,BE,0~73,12,,,,主約,70.00%,6.00%,1.00%,,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,N
2025/3/13,銷售中,元大,美利倍傳美元利率變動型終身壽險,QV,,6,,,,主約,36.00%,0.00%,,,,,,,,,0.50%,,,,,,,,,Y,Y,N
2025/3/13,銷售中,元大,美利倍傳美元利率變動型終身壽險,QV,,10,,,,主約,50.00%,5.00%,,,,,,,,,0.50%,0.50%,,,,,,,,Y,Y,N
2024/7/29,銷售中,元大,元美金旺美元利率變動型終身壽險,QQ,,1,,,躉,主約,4.70%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2024/7/29,銷售中,元大,元美金旺美元利率變動型終身壽險,QQ,,2,,,,主約,14.00%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2024/1/25,2026/1/1,元大,元得益彰美元利率變動型終身壽險,QH,,6,,,,主約,55.00%,0.00%,0.00%,0.00%,,,,,,,0.50%,0.50%,,,,,,,,Y,Y,N
2024/9/26,銷售中,元大,元傳富美元利率變動型終身壽險,QF,,3,,,,主約,30.00%,0.00%,,,,,,,,,0.00%,,,,,,,,,N,N,N
2024/9/26,銷售中,元大,元傳富美元利率變動型終身壽險,QF,,6,,,,主約,55.00%,0.00%,,,,,,,,,1.00%,1.00%,1.00%,1.00%,0.50%,,,,,Y,Y,N
2024/12/4,銷售中,元大,元滿富利率變動型終身壽險,JZ,,6,,,,主約,42.00%,,,,,,,,,,1.00%,1.00%,1.00%,,,,,,,Y,Y,N
2024/1/12,2025/1/1,元大,元滿讚利率變動型終身壽險,JT,,4,,,,主約,25.00%,0.00%,,,,,,,,,0.00%,0.00%,,,,,,,,N,N,N
2024/1/12,2025/1/1,元大,元滿讚利率變動型終身壽險,JT,,6,,,,主約,35.00%,0.50%,,,,,,,,,0.50%,0.50%,,,,,,,,Y,Y,N
2024/7/1,銷售中,元大,享美年美元利率變動型增額還本終身保險,QU,,3,,,,主約,21.00%,0.00%,0.00%,,,,,,,,0.00%,0.00%,,,,,,,,N,N,N
2024/7/1,銷售中,元大,享美年美元利率變動型增額還本終身保險,QU,,6,,,,主約,35.00%,0.00%,0.00%,,,,,,,,0.50%,0.00%,,,,,,,,Y,Y,N
2024/10/17,銷售中,元大,承億達美元利率變動型終身壽險,KY,,6,,,,主約,34.00%,0.00%,0.00%,0.00%,0.00%,,,,,,0.00%,,,,,,,,,Y,Y,N
2024/10/17,銷售中,元大,承億達美元利率變動型終身壽險,KY,,10,,,,主約,48.00%,1.00%,0.00%,0.00%,0.00%,,,,,,0.00%,,,,,,,,,Y,Y,N
2024/10/17,銷售中,元大,承億達美元利率變動型終身壽險,KY,,12,,,,主約,65.00%,2.00%,1.00%,0.00%,0.00%,,,,,,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.5%~,Y,Y,N
2024/10/17,銷售中,元大,承億達美元利率變動型終身壽險,KY,,20,,,,主約,80.00%,3.00%,2.00%,2.00%,0.00%,,,,,,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.5%~,Y,Y,N
2024/11/18,銷售中,元大,金元寶利率變動型終身壽險,JI,0~75,1,,,躉,主約,9.50%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2024/11/18,銷售中,元大,金元寶利率變動型終身壽險,JI,76~78,1,,,躉,主約,6.50%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2024/11/18,銷售中,元大,金元寶利率變動型終身壽險,JI,0~75,2,,,,主約,19.00%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2024/11/18,銷售中,元大,金元寶利率變動型終身壽險,JI,76~78,2,,,,主約,13.00%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2024/7/1,銷售中,元大,金旺利率變動型終身壽險,JJ,0~69,1,,,躉,主約,3.60%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2024/7/1,銷售中,元大,金旺利率變動型終身壽險,JJ,0~69,2,,,,主約,8.00%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2024/11/18,銷售中,元大,金美寶美元利率變動型終身壽險 ,QI,,1,,,躉,主約,13.00%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2024/11/18,銷售中,元大,金美寶美元利率變動型終身壽險 ,QI,,2,,,,主約,26.00%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2024/6/13,銷售中,元大,真億達利率變動型終身壽險 ,JY,,6,,,,主約,36.00%,1.00%,0.00%,0.00%,,,,,,,0.50%,0.50%,0.50%,,,,,,,Y,Y,Y
2024/6/13,銷售中,元大,真億達利率變動型終身壽險 ,JY,,8,,,,主約,46.00%,1.00%,0.00%,0.00%,,,,,,,1.00%,1.00%,1.00%,,,,,,,Y,Y,Y
2024/6/13,銷售中,元大,真億達利率變動型終身壽險 ,JY,,12,,,,主約,65.00%,1.00%,0.00%,0.00%,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,,,,,Y,Y,Y
2024/6/13,銷售中,元大,真億達利率變動型終身壽險 ,JY,,20,,,,主約,84.00%,3.00%,2.00%,2.00%,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,Y,Y,Y
2024/3/8,2026/1/1,元大,傳家世代美元利率變動型終身壽險,QJ,,6,,,,主約,60.00%,0.00%,0.00%,,,,,,,,1.00%,1.00%,1.00%,1.00%,0.50%,,,,,Y,Y,N
2024/3/8,2026/1/1,元大,傳家世代美元利率變動型終身壽險,QJ,,8,,,,主約,70.00%,0.00%,0.00%,,,,,,,,1.00%,1.00%,1.00%,1.00%,0.50%,0.50%,0.50%,,,Y,Y,N
2024/3/8,2026/1/1,元大,傳家世代美元利率變動型終身壽險,QJ,,12,,,,主約,80.00%,0.00%,0.00%,,,,,,,,1.00%,1.00%,1.00%,1.00%,0.50%,0.50%,0.50%,0.50%,0.50%,Y,Y,N
2024/2/16,銷售中,元大,新膝望保險,HJ,,10,,,,主約,25.00%,5.00%,3.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,Y,Y,N
2024/2/16,銷售中,元大,新膝望保險,HJ,,15,,,,主約,30.00%,5.00%,3.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,Y,Y,N
2024/2/16,銷售中,元大,新膝望保險,HJ,,20,,,,主約,35.00%,5.00%,3.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,Y,Y,N
2023/1/11,2023/1/11,元大,元滿增利利率變動型終身壽險,JA,,2,,,,主約,7.00%,0.00%,0.00%,0.00%,,,,,,,N,,,,,,,,,N,N,N
2023/1/11,2023/1/11,元大,元滿增利利率變動型終身壽險,JA,,6,,,,主約,22.00%,0.00%,0.00%,0.00%,,,,,,,N,,,,,,,,,Y,Y,N
2023/1/11,2023/1/11,元大,元滿增利利率變動型終身壽險,JA,,10,,,,主約,35.00%,2.00%,1.00%,0.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/11/17,銷售中,元大,好好美美元利率變動型終身壽險,QP,,1,,,躉,主約,12.00%,0.00%,,,,,,,,,0.00%,,,,,,,,,N,N,N
2023/11/17,銷售中,元大,好好美美元利率變動型終身壽險,QP,,2,,,,主約,24.00%,0.00%,,,,,,,,,0.00%,,,,,,,,,N,N,N
2023/9/4,銷售中,元大,好視元滿保險,IV,,10,,,,主約,25.00%,5.00%,3.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,Y,Y,N
2023/9/4,銷售中,元大,好視元滿保險,IV,,15,,,,主約,30.00%,5.00%,3.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,Y,Y,N
2023/9/4,銷售中,元大,好視元滿保險,IV,,20,,,,主約,35.00%,5.00%,3.00%,2.00%,2.00%,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,Y,Y,N
2023/10/27,2024/8/1,元大,承億達美元利率變動型終身壽險,KY,,6,,,,主約,34.00%,0.00%,0.00%,0.00%,0.00%,,,,,,0.00%,,,,,,,,,Y,Y,N
2023/10/27,2024/8/1,元大,承億達美元利率變動型終身壽險,KY,,10,,,,主約,48.00%,1.00%,0.00%,0.00%,0.00%,,,,,,0.00%,,,,,,,,,Y,Y,N
2023/10/27,2024/8/1,元大,承億達美元利率變動型終身壽險,KY,,12,,,,主約,65.00%,2.00%,1.00%,0.00%,0.00%,,,,,,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.5%~,Y,Y,N
2023/10/27,2024/8/1,元大,承億達美元利率變動型終身壽險,KY,,20,,,,主約,80.00%,3.00%,2.00%,2.00%,0.00%,,,,,,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.5%~,Y,Y,N
2023/11/22,銷售中,元大,金傳家美元利率變動型終身壽險,QT,,6,,,,主約,61.00%,0.00%,,,,,,,,,0.50%,0.50%,,,,,,,,Y,Y,N
2023/11/22,銷售中,元大,金傳家美元利率變動型終身壽險,QT,,12,,,,主約,84.00%,2.00%,2.00%,1.00%,0.00%,,,,,,0.50%,0.50%,0.50%,0.50%,0.50%,,,,,Y,Y,N
2023/4/10,2024/10/1,元大,美利珍讚美元利率變動型終身壽險,Q1,0~69,1,,,躉,主約,4.30%,,,,,,,,,,N,,,,,,,,,N,N,N
2023/1/11,2023/1/11,元大,美承富美元利率變動型終身壽險,KB,,6,,,,主約,55.00%,,,,,,,,,,N,,,,,,,,,Y,Y,N
2023/5/25,銷售中,元大,美旺達美元利率變動型增額終身壽險,QM,,6,,,,主約,45.00%,1.00%,0.00%,0.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2023/5/25,銷售中,元大,美旺達美元利率變動型增額終身壽險,QM,,10,,,,主約,55.00%,1.00%,1.00%,0.00%,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,0.50%,0.50%,0.50%,0.50%,Y,Y,Y
2023/5/25,銷售中,元大,美旺達美元利率變動型增額終身壽險,QM,,12,,,,主約,60.00%,2.00%,1.00%,1.00%,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,0.50%,0.50%,0.50%,0.5%~,Y,Y,Y
2023/5/25,銷售中,元大,美旺達美元利率變動型增額終身壽險,QM,,20,,,,主約,80.00%,2.00%,2.00%,1.00%,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,0.50%,0.50%,0.50%,0.5%~,Y,Y,Y
2023/1/11,2023/1/11,元大,美家富美元利率變動型終身壽險,KA,0~70,1,,,躉,主約,11.00%,,,,,,,,,,N,,,,,,,,,N,N,N
2023/1/11,2023/1/11,元大,美家富美元利率變動型終身壽險,KA,71~,1,,,躉,主約,10.00%,,,,,,,,,,N,,,,,,,,,N,N,N
2023/1/11,2023/1/11,元大,美家富美元利率變動型終身壽險,KA,0~70,2,,,,主約,24.00%,,,,,,,,,,N,,,,,,,,,N,N,N
2023/1/11,2023/1/11,元大,美家富美元利率變動型終身壽險,KA,71~,2,,,,主約,16.00%,,,,,,,,,,N,,,,,,,,,N,N,N
2023/9/28,2025/7/1,元大,樂享元元美元利率變動型還本終身保險,QE,,6,,,,主約,45.00%,,,,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,,,,,Y,Y,N
2023/9/28,2025/7/1,元大,樂享元元美元利率變動型還本終身保險,QE,,12,,,,主約,65.00%,3.00%,2.00%,,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,Y,Y,N
2023/9/28,2025/7/1,元大,樂享元元美元利率變動型還本終身保險,QE,,20,,,,主約,82.00%,5.00%,2.00%,2.00%,,,,,,,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,Y,Y,N
2022/2/25,銷售中,元大,大利元滿變額年金保險,W2,,1,,,躉,投資型,5.10%,,,,,,,,,,N,,,,,,,,,N,N,N
2022/2/25,銷售中,元大,大利元滿變額萬能壽險,W1,,1,,,躉,投資型,5.10%,,,,,,,,,,N,,,,,,,,,N,N,N
2022/12/15,銷售中,元大,元滿鑽多利率變動型終身壽險,JF,,2,,,,主約,7.00%,0.00%,0.00%,0.00%,,,,,,,0.00%,,,,,,,,,N,N,N
2022/12/15,銷售中,元大,元滿鑽多利率變動型終身壽險,JF,,6,,,,主約,22.00%,0.00%,0.00%,0.00%,,,,,,,0.00%,,,,,,,,,Y,Y,N
2022/12/15,銷售中,元大,元滿鑽多利率變動型終身壽險,JF,,10,,,,主約,35.00%,2.00%,1.00%,0.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2022/10/12,2026/1/1,元大,元寶利達利率變動型增額終身壽險,ZL,,8,,,,主約,30.00%,2.00%,0.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2022/10/12,2026/1/1,元大,元寶利達利率變動型增額終身壽險,ZL,,12,,,,主約,45.00%,2.00%,2.00%,1.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2022/10/12,2026/1/1,元大,元寶利達利率變動型增額終身壽險,ZL,,15,,,,主約,55.00%,2.00%,2.00%,1.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2022/10/12,2026/1/1,元大,元寶利達利率變動型增額終身壽險,ZL,,20,,,,主約,75.00%,2.00%,2.00%,1.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2022/1/26,2022/8/19,元大,世代相傳美元利率變動型終身壽險,KJ,,6,,,,主約,30.00%,0.00%,0.00%,0.00%,,,,,,,Y,,,,,,,,,Y,Y,N
2022/1/26,2022/8/19,元大,世代相傳美元利率變動型終身壽險,KJ,,10,,,,主約,40.00%,2.00%,2.00%,2.00%,,,,,,,Y,,,,,,,,,Y,Y,N
2022/1/26,2022/8/19,元大,世代相傳美元利率變動型終身壽險,KJ,,20,,,,主約,80.00%,4.00%,4.00%,4.00%,,,,,,,Y,,,,,,,,,Y,Y,N
2022/4/1,銷售中,元大,卡安鑫100重大傷病終身健康保險,RO,,10,,,,主約,35.00%,5.00%,3.00%,3.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2022/4/1,銷售中,元大,卡安鑫100重大傷病終身健康保險,RO,,15,,,,主約,52.00%,5.00%,3.00%,3.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2022/4/1,銷售中,元大,卡安鑫100重大傷病終身健康保險,RO,,20,,,,主約,68.00%,5.00%,3.00%,3.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2022/4/1,銷售中,元大,卡安鑫100重大傷病終身健康保險,RO,,30,,,,主約,68.00%,5.00%,3.00%,3.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2022/2/25,銷售中,元大,享利元元變額年金保險,W4,,1,,,躉,投資型,3.00%,,,,,,,,,,N,,,,,,,,,N,N,N
2022/2/25,銷售中,元大,享利元元變額萬能壽險,W3,,1,,,躉,投資型,3.00%,,,,,,,,,,N,,,,,,,,,N,N,N
2022/12/12,2023/12/1,元大,金美承富美元利率變動型終身壽險,QB,,6,,,,主約,55.00%,0.00%,0.00%,,,,,,,,Y,,,,,,,,,Y,Y,N
2022/12/12,2023/12/1,元大,金美家富美元利率變動型終身壽險,QA,,1,,,躉,主約,11.00%,0.00%,0.00%,,,,,,,,N,,,,,,,,,N,N,N
2022/12/12,2023/12/1,元大,金美家富美元利率變動型終身壽險,QA,,2,,,,主約,24.00%,0.00%,0.00%,,,,,,,,N,,,,,,,,,N,N,N
2022/8/24,2025/7/1,元大,美利長傳美元利率變動型終身壽險,KC,,6,,,,主約,50.00%,0.00%,0.00%,0.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2022/8/24,2025/7/1,元大,美利長傳美元利率變動型終身壽險,KC,,10,,,,主約,62.00%,2.00%,2.00%,0.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2022/8/24,2025/7/1,元大,美利長傳美元利率變動型終身壽險,KC,,12,,,,主約,70.00%,2.00%,2.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2022/8/24,2025/7/1,元大,美利長傳美元利率變動型終身壽險,KC,,20,,,,主約,92.00%,2.00%,2.00%,2.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2022/9/21,2024/1/1,元大,美寶利達美元利率變動型增額終身壽險,KL,,6,,,,主約,25.00%,0.00%,0.00%,0.00%,,,,,,,0.00%,,,,,,,,,Y,Y,Y
2022/9/21,2024/1/1,元大,美寶利達美元利率變動型增額終身壽險,KL,,10,,,,主約,35.00%,1.00%,0.00%,0.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2022/9/21,2024/1/1,元大,美寶利達美元利率變動型增額終身壽險,KL,,12,,,,主約,50.00%,2.00%,2.00%,1.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2022/9/21,2024/1/1,元大,美寶利達美元利率變動型增額終身壽險,KL,,20,,,,主約,80.00%,2.00%,2.00%,1.00%,,,,,,,1.00%,,,,,,,,,Y,Y,Y
2022/12/1,2024/10/1,元大,富利美傳美元利率變動型終身壽險,KR,,10,,,,主約,40.00%,10.00%,,,,,,,,,0.50%,0.50%,,,,,,,,Y,Y,Y
202212/1,2024/10/1,元大,富利美傳美元利率變動型終身壽險,KR,,6,,,,主約,30.00%,0.00%,,,,,,,,,0.50%,,,,,,,,,Y,Y,Y
2022/12/1,銷售中,元大,富利美寶美元利率變動型終身壽險,KP,,1,,,躉,主約,9.00%,0.00%,0.00%,,,,,,,,N,,,,,,,,,N,N,N
2022/12/1,銷售中,元大,富利美寶美元利率變動型終身壽險,KP,,2,,,,主約,20.00%,0.00%,,,,,,,,,N,,,,,,,,,N,N,N
202212/1,銷售中,元大,橘好世代定期健康保險,SI,,10,,,,主約,35.00%,5.00%,3.00%,0.00%,,,,,,,2.00%,,,,,,,,,Y,Y,Y
202212/1,銷售中,元大,橘好世代定期健康保險,SI,,20,,,,主約,65.00%,5.00%,3.00%,0.00%,,,,,,,4.00%,,,,,,,,,Y,Y,Y
2022/8/10,2025/4/28,元大,親愛貝比終身醫療健康保險,JO,,10,,,,主約,20.00%,12.00%,4.00%,0.00%,,,,,,,Y,,,,,,,,,Y,Y,N
2022/8/10,2025/4/28,元大,親愛貝比終身醫療健康保險,JO,,15,,,,主約,30.00%,12.00%,4.00%,0.00%,,,,,,,Y,,,,,,,,,Y,Y,N
2022/8/10,2025/4/28,元大,親愛貝比終身醫療健康保險,JO,,20,,,,主約,40.00%,12.00%,4.00%,0.00%,,,,,,,Y,,,,,,,,,Y,Y,N
202212/15,銷售中,元大,鑫優利美元利率變動型終身壽險,QZ,,6,,,,主約,24.00%,0.00%,0.00%,0.00%,,,,,,,0.00%,,,,,,,,,N,N,Y
202212/15,銷售中,元大,鑫優利美元利率變動型終身壽險,QZ,,8,,,,主約,28.00%,0.00%,0.00%,0.00%,,,,,,,0.00%,,,,,,,,,N,N,Y
202212/15,銷售中,元大,鑫優利美元利率變動型終身壽險,QZ,,10,,,,主約,35.00%,0.00%,0.00%,0.00%,,,,,,,2.00%,,,,,,,,,Y,Y,Y
202212/15,銷售中,元大,鑫優利美元利率變動型終身壽險,QZ,,12,,,,主約,42.00%,2.00%,2.00%,2.00%,,,,,,,2.00%,,,,,,,,,Y,Y,Y
202212/15,銷售中,元大,鑫優利美元利率變動型終身壽險,QZ,,20,,,,主約,75.00%,2.00%,2.00%,2.00%,,,,,,,2.00%,,,,,,,,,Y,Y,Y
